empresa_id,empresa_nombre,ruta_hex,ruta_nombre,hora,mean_id,total_trips,trips_ok,pct_trips_ok
0007,ALDANA SA,0038,12 2 (SAN LORENZO → ASUNCIÓN),10.0,0004C,1,0,0.0
0007,ALDANA SA,0038,12 2 (SAN LORENZO → ASUNCIÓN),10.0,00053,1,0,0.0
0007,ALDANA SA,0038,12 2 (SAN LORENZO → ASUNCIÓN),10.0,0005A,1,0,0.0
0007,ALDANA SA,0038,12 2 (SAN LORENZO → ASUNCIÓN),10.0,00063,1,0,0.0
0007,ALDANA SA,0038,12 2 (SAN LORENZO → ASUNCIÓN),10.0,00067,1,0,0.0
0007,ALDANA SA,003A,12 3 (LUQUE → ASUNCIÓN),10.0,00024,1,0,0.0
0007,ALDANA SA,003A,12 3 (LUQUE → ASUNCIÓN),10.0,00049,1,0,0.0
0007,ALDANA SA,003A,12 3 (LUQUE → ASUNCIÓN),10.0,00051,4,0,0.0
0007,ALDANA SA,003A,12 3 (LUQUE → ASUNCIÓN),10.0,0005A,4,0,0.0
0007,ALDANA SA,003A,12 3 (LUQUE → ASUNCIÓN),10.0,00063,4,0,0.0
0007,ALDANA SA,003A,12 3 (LUQUE → ASUNCIÓN),10.0,00073,8,0,0.0
0007,ALDANA SA,003C,12 4 (LUQUE → ASUNCIÓN),10.0,00034,2,0,0.0
0007,ALDANA SA,003C,12 4 (LUQUE → ASUNCIÓN),10.0,00052,1,0,0.0
0007,ALDANA SA,003E,12 5 (LUQUE → ASUNCIÓN),10.0,00052,2,0,0.0
0007,ALDANA SA,004D,15 21 (ASUNCIÓN → SAN ANTONIO),10.0,00055,1,0,0.0
0007,ALDANA SA,0050,15 31 (SAN ANTONIO → SAN ANTONIO),10.0,00028,1,0,0.0
0007,ALDANA SA,0061,26 3 (ASUNCIÓN → ÑEMBY),10.0,00002,1,0,0.0
0007,ALDANA SA,0061,26 3 (ASUNCIÓN → ÑEMBY),10.0,0003E,2,0,0.0
0007,ALDANA SA,0061,26 3 (ASUNCIÓN → ÑEMBY),10.0,00047,1,0,0.0
0007,ALDANA SA,0061,26 3 (ASUNCIÓN → ÑEMBY),10.0,00070,1,0,0.0
0007,ALDANA SA,0061,26 3 (ASUNCIÓN → ÑEMBY),10.0,0007C,2,0,0.0
0007,ALDANA SA,0078,21 4 (SAN LORENZO → ASUNCIÓN),10.0,00052,2,0,0.0
0007,ALDANA SA,0090,27 1 (CAPIATA → ASUNCIÓN),10.0,00024,1,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00007,3,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00014,2,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00017,2,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,0001F,1,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00020,3,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00022,1,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00027,1,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,0003D,1,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00042,2,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,0004B,2,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00054,2,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00058,3,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00065,2,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00069,2,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,0006F,1,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00075,1,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,00084,1,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,000A1,2,0,0.0
0007,ALDANA SA,0098,29 3 (SAN LORENZO → ASUNCIÓN),10.0,000A4,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,00007,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,0001D,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,00020,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,0003E,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,00047,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,00055,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,00065,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,00070,1,0,0.0
0007,ALDANA SA,0099,29 3 (ASUNCIÓN → SAN LORENZO),10.0,0007C,1,0,0.0
0007,ALDANA SA,00E6,50 1 (CAPIATA → LAMBARÉ),10.0,0001F,1,0,0.0
